Item No.,Description,Sell,On Hand,Cost,List,OEM,Category,Extended Sell
THR-08571,MANUAL CART APP GUN 6.8FL OZ,271.34,0,146.23,271.34,WEST,WEST,MANUAL CART APP GUN 6.8FL OZ
THR-08890,5-WAY PLUS OIL,26.99,0,14.54,26.99,WEST,WEST,5-WAY PLUS OIL
THR-08968,NON STREAKING GLASS CLEANER,14.91,0,8.04,14.91,WEST,WEST,NON STREAKING GLASS CLEANER
THR-08987,425G G.PURP.ADHES.CLNR AEROSOL,36.11,0,19.46,36.11,WEST,WEST,425G G.PURP.ADHES.CLNR AEROSOL
THR-09004,16OZ S.DUTY RUBBING COMPOUND,41.90,1,22.58,41.90,WEST,WEST,16OZ S.DUTY RUBBING COMPOUND
THR-09005,16OZ FIBREGLASS RESTOR.&WAX,53.27,0,30.30,53.27,WEST,WEST,16OZ FIBREGLASS RESTOR.&WAX
THR-09006,32 OZ FG RESTORER & WAX,68.44,0,38.93,68.44,WEST,WEST,32 OZ FG RESTORER & WAX
THR-09009,16OZ FIBREGLASS CLEANER&WAX,56.80,2,30.61,56.80,WEST,WEST,16OZ FIBREGLASS CLEANER&WAX
THR-09010,32 OZ FG CLEANER & WAX,64.08,0,36.45,64.08,WEST,WEST,32 OZ FG CLEANER & WAX
THR-09020,18OZ ALUM. RESTORER &POLISH,89.99,6,14.99,0.00,WEST,WEST,18OZ ALUM. RESTORER &POLISH
THR-09023,8OZ VINYL CLEANR &CONDITNR,44.14,0,23.79,44.14,WEST,WEST,8OZ VINYL CLEANR &CONDITNR
THR-09029,15 OZ VINYL CLEANER & RESTORER,45.86,1,24.71,45.86,WEST,WEST,15 OZ VINYL CLEANER & RESTORER
THR-09033,15 OZ. CLEAN/SHINE SPRAY WAX,48.08,0,25.91,48.08,WEST,WEST,15 OZ. CLEAN/SHINE SPRAY WAX
THR-09034,PERFECT-IT BOAT WASH-PINT,36.46,0,19.65,36.46,WEST,WEST,PERFECT-IT BOAT WASH-PINT
THR-09035,PERFECT-IT BOAT WASH-QUART,69.07,2,42.68,69.07,WEST,WEST,PERFECT-IT BOAT WASH-QUART
