MARISOL MARINE & YACHT,,,,,,,,,,,,,,,,,
,,,,,,Inventory Price List,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OEM,,Category,Item No.,,Description,,,Bin Location,,,Min/Max,On Hand,List,Cost,Sell ,Extended Sell,
,,,,,,,,,,,,,,,,,
WEST,,WEST,ABA-13657,,"#28 SS HOSE CLAMP 1-1/4-2-1/4""""""",,,,,,0 / 0,2.00,9.90 ,5.50 ,9.90 ,19.80 ,
WEST,,WEST,ABA-13664,,"#32 SS HOSE CLAMP 1-1/2-2-1/2""""""",,,,,,0 / 0,16.00,10.86 ,6.04 ,10.86 ,173.76 ,
WEST,,WEST,ABA-13670,,"#36 SS HOSE CLAMP 1-3/4-2-3/4""""""",,,,,,0 / 0,22.00,11.16 ,5.47 ,11.16 ,245.52 ,
WEST,,WEST,ABA-13676,,"#40 SS HOSE CLAMP 2""""-3""""       """,,,,,,0 / 0,5.00,11.54 ,6.22 ,11.54 ,57.70 ,
WEST,,WEST,ABA-13683,,"#44 SS HOSE CLAMP 2-1/4-3-1/4""""""",,,,,,0 / 0,0.00,12.07 ,6.51 ,12.07 ,0.00 ,
WEST,,WEST,ABA-13689,,"#48 SS HOSE CLAMP 2-1/2-3-1/2""""""",,,,,,0 / 0,0.00,12.47 ,6.72 ,12.47 ,0.00 ,
WEST,,WEST,ABA-13694,,"#52 SS HOSE CLAMP 2-3/4-3-3/4""""""",,,,,,0 / 0,0.00,12.71 ,6.85 ,12.71 ,0.00 ,
WEST,,WEST,ABA-13696,,"#56 SS HOSE CLAMP 3""""-4""""       """,,,,,,0 / 0,11.00,13.56 ,7.66 ,13.56 ,149.16 ,
WEST,,WEST,ABA-13697,,"#60 SS HOSE CLAMP 3-1/4-4-1/4""""""",,,,,,0 / 0,2.00,14.88 ,8.01 ,14.88 ,29.76 ,
WEST,,WEST,ABA-13698,,"#64 SS HOSE CLAMP 3-1/2-4-1/2""""""",,,,,,0 / 0,5.00,15.90 ,8.86 ,15.90 ,79.50 ,
WEST,,WEST,ABA-13699,,"#72 SS HOSE CLAMP 3-1/2""""-5""""   """,,,,,,0 / 0,15.00,16.73 ,9.01 ,16.73 ,250.95 ,
WEST,,WEST,ABA-31604,,DSPLY RACK 244 W/316SS HCLAMPS,,,,,,0 / 0,0.00,"1,069.30 ",576.27 ,"1,069.30 ",0.00 ,
WEST,,WEST,ABA-60002,,"7MM FLEXIBLE CLAMP DRIVER 10"""" """,,,,,,0 / 0,0.00,70.26 ,37.86 ,70.26 ,0.00 ,
WEST,,WEST,ABA-66140,,"#80 SS HOSE CLAMP 4""""-5-1/2""""   """,,,,,,0 / 0,-8.00,16.70 ,9.00 ,16.70 ,0.00 ,
WEST,,WEST,ABA-66152,,"#88 SS HOSE CLAMP 4-1/2""""-6""""   """,,,,,,0 / 0,0.00,18.77 ,10.12 ,18.77 ,0.00 ,
WEST,,WEST,ABA-66165,,"#96 SS HOSE CLAMP 5""""-6-1/2""""   """,,,,,,0 / 0,0.00,19.47 ,10.49 ,19.47 ,0.00 ,
WEST,,WEST,ABA-66178,,"#104 SS HOSE CLAMP 5-1/2""""-7""""  """,,,,,,0 / 0,0.00,20.98 ,11.30 ,20.98 ,0.00 ,
